INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (3,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (226,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (227,'F','Solteiro(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (228,'F','Casado(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (229,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (235,'F','Casado(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (238,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (240,'F','Casado(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (242,'F','Solteiro(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (243,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (244,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (248,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (250,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (257,'F','Casado(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (260,'F','Casado(a)',5,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (262,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (264,'F','Solteiro(a)',1,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (265,'F','Solteiro(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (268,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (271,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (272,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (273,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (274,'F','Solteiro(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (275,'F','Casado(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (280,'F','Solteiro(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (281,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (282,'F','Solteiro(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (283,'F','Solteiro(a)',3,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (286,'F','Solteiro(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (287,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (291,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (294,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (296,'F','Casado(a)',5,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (297,'F','Casado(a)',5,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (298,'F','Casado(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (299,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (301,'F','Casado(a)',5,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (303,'F','Casado(a)',1,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (304,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (305,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (309,'F','Solteiro(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (310,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (312,'F','Casado(a)',3,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (317,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (319,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (321,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (322,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (323,'F','Casado(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (328,'F','Solteiro(a)',3,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (329,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (330,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (335,'F','Solteiro(a)',5,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (336,'F','Casado(a)',3,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (337,'F','Casado(a)',1,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (338,'F','Casado(a)',3,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (339,'F','Solteiro(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (340,'F','Casado(a)',2,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (341,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (344,'F','Solteiro(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (345,'F','Casado(a)',2,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (346,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (347,'F','Solteiro(a)',4,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (349,'F','Solteiro(a)',1,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (352,'F','Casado(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (354,'F','Casado(a)',2,'São Miguel Paulista');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (355,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (360,'F','Casado(a)',4,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (361,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (363,'F','Casado(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (364,'F','Casado(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (365,'F','Solteiro(a)',2,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (366,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (369,'F','Casado(a)',1,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (370,'F','Casado(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (372,'F','Casado(a)',1,'Vila Prudente');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (373,'F','Solteiro(a)',2,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (376,'F','Solteiro(a)',2,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (378,'F','Solteiro(a)',1,'Guaianases');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (381,'F','Casado(a)',4,'Itaquera');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (382,'F','Casado(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (389,'F','Casado(a)',1,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero_pets, Bairro) VALUES (391,'F','Solteiro(a)',4,'Cidade tiradentes');
INSERT INTO clientes (id_consumidor, Gênero, Estado_civil, Numero
